KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df,name,method
KO_75,0.24483186884667996,1.980949687501002,0.6138047238163393,3.2273288403263174,0.001311619866763729,0.1049295893410983,No,657,health_statusHIV,LinDA
KO_39,0.24483186884667635,1.9209211177750514,0.6478995742265263,2.9648439267278115,0.0031381089095124785,0.12552435638049914,No,657,health_statusHIV,LinDA
KO_22,0.24483186884667033,3.2383102682502005,1.180647898112753,2.7428247434536477,0.006257351407388648,0.16686270419703064,No,657,health_statusHIV,LinDA
KO_13,0.24483186884667513,-1.4110676372593551,0.6133752776104102,-2.3004964314124265,0.021732499168608168,0.4346499833721634,No,657,health_statusHIV,LinDA
KO_1,25793.31545883521,-0.016710661197725907,0.3329232969188698,-0.05019372736116492,0.959983265612524,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_2,11.84894577812223,-0.3744127655159111,1.267629019307435,-0.2953646215203169,0.7678086744354067,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_3,0.24483186884667815,-0.026211703638127887,0.36093609580935493,-0.07262145277920003,0.942129457155579,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_4,158.44366494642694,0.863869860073011,1.2429051444227983,0.6950408596741224,0.4872754297398648,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_5,28519.205038517182,-0.013049801635339198,0.3625850129302942,-0.035991012231517634,0.9713004576939792,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_6,16194.754398621988,-0.02091755377399629,0.369207366305792,-0.056655299116300815,0.9548370082317347,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_7,37303.361834506184,0.036471136577913954,0.39954306069698,0.0912821174125566,0.9272962503822844,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_8,170.87801744043858,0.3270127316770048,1.7934549841573737,0.1823367380646281,0.8553747147213975,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_9,6.82516347331591,0.6642682252153497,1.3732746113557994,0.48371113812373945,0.6287520630503773,0.9974823568014521,No,657,health_statusHIV,LinDA
KO_10,157.21387211153097,-1.4197302112589718,0.8716826429131065,-1.6287237365588996,0.10385088837544956,0.9974823568014521,No,657,health_statusHIV,LinDA
