KO	V102	V103	V104	V011	V112	V113	V118	V119	V012	V125	V128	V129	V013	V132	V014	V141	V149	V015	V153	V155	V156	V159	V016	V161	V175	V002	V208	V021	V215	V216	V218	V219	V022	V222	V227	V023	V230	V024	V243	V254	V260	V267	V277	V028	V280	V283	V290	V297	V311	V312	V313	V320	V343	V036	V037	V373	V038	V393	V043	V049	V005	V050	V051	V054	V055	V057	V060	V061	V063	V065	V074	V075	V008	V080	V082	V085	V087	V092	V094	V097	V003	pathway_1	pathway_2	pathway_3
K00010	2998.31275	23210.91775	19428.64925	18023.599	6073.1615	21607.376750000003	16929.665999999997	16806.135749999994	7667.845000000003	11400.348999999998	21016.679750000003	1372.6	18503.7445	17939.934999999998	13818.63	3217.939	15562.1	23879.983000000004	9447.14825	16607.763	1324.06425	29285.160750000003	12791.7	6564.34375	22140.88125	24711.56375	15919.904	12224.69575	22108.497	885.5412500000002	18554.84125	315.875	18916.140250000004	25748.876000000007	9225.125	23200.806999999997	18064.625	18786.864500000003	383.25	27316.94825	26296.709500000004	12612.15	19472.275	8317.934000000001	12888.18675	12826.125	15538.1	23011.285749999995	10219.90125	23544.9365	4274.164249999999	18352.25225	25453.705250000003	22702.095500000003	31772.775	16274.00225	18584.92425	18611.218	15162.76275	12318.6625	28764.46775	23825.585250000004	20851.11825	14531.877	20732.762	709.66975	27011.437750000005	173.2	6342.131749999999	15791.123749999995	8360.075	797.9375	18087.934	9637.967	28346.8905	23241.12450000001	21045.525	5024.31875	17319.602	2065.332	61880.45125	Metabolism	Carbohydrate Metabolism	Inositol Phosphate Metabolism
K00020	307.11148148148146	11836.432592592591	2300.131851851852	8506.042962962963	3104.1725925925925	7428.736296296298	6610.5422222222205	8519.854074074072	3452.1555555555556	7568.81962962963	2972.1148148148145	661.8148148148148	1628.1477777777775	8410.716666666667	1274.2222222222222	1205.6803703703702	9019.5	6403.361111111111	1366.925185185185	1521.9274074074074	952.2174074074072	7757.584444444445	1161.6666666666667	5676.787407407407	1936.675925925926	2216.018888888889	1493.094074074074	1797.1233333333334	8656.874814814817	510.42259259259265	5127.548148148147	0	13185.39925925926	6627.641111111111	4240.851851851852	6451.258888888889	1698.6666666666667	6607.942222222221	100.25925925925924	7836.825185185187	13137.032592592594	6800.12962962963	3494.814814814815	2185.528888888889	7795.366666666667	1801.4814814814815	2652.296296296296	2756.081111111111	4342.708888888889	0	405.24888888888887	4901.418518518518	12526.468148148151	12009.510370370372	15690.111111111111	5356.077407407406	11515.422592592597	2270.407777777778	6331.568518518518	3220.925925925926	4626.843703703704	3273.1488888888885	11703.345925925929	14462.860000000002	4703.127777777779	277.7344444444445	5679.219629629631	46.2962962962963	1920.6755555555555	14619.605925925924	770.1296296296297	110.0925925925926	6686.409259259259	3837.1048148148143	3558.524814814815	5526.566296296295	8283.148148148148	1455.1370370370369	11051.551851851851	187.99	13706.315555555557	Metabolism	Amino Acid Metabolism	Valine, Leucine And Isoleucine Degradation
K00030	4188.751363636364	34183.79	26993.933636363632	27466.48318181819	10269.710454545457	34062.49318181818	27926.178181818173	26616.04136363636	10367.132727272729	18165.47	29809.595454545455	1516.2272727272727	25724.915	28466.89636363637	19208.85	5310.596363636363	19775.136363636364	43426.439090909094	13373.523636363638	23077.27045454546	2227.4190909090903	28533.512727272733	17788.863636363636	15109.595	30785.625	34406.729090909095	22176.46863636364	17828.44681818182	34377.51090909092	1454.5127272727273	23070.193181818177	442.8636363636364	28633.301363636365	45895.586363636365	16206.09090909091	37509.759545454544	25237.136363636364	28669.905909090907	493.5	47430.01272727272	28008.234545454547	18958.454545454544	25037.5	12868.16863636364	17254.866363636367	18453.43181818182	20707.227272727272	34297.85999999999	15186.03409090909	32736.221818181817	5963.350909090907	21782.779090909087	32224.88772727273	37781.475	33738.045454545456	24398.049545454534	26236.11227272727	24726.183636363632	21859.74	21170.204545454544	33999.75	33092.79	31591.918181818182	19621.846818181813	31729.170454545456	881.6481818181818	42571.95590909092	312.1818181818182	10320.645	23362.049090909084	11619.90909090909	1107.090909090909	28835.546818181818	15711.41818181818	39607.59636363635	30509.56045454546	24932.977272727272	8550.805	26595.32727272727	2868.8859090909086	93451.28590909088	Metabolism	Carbohydrate Metabolism	Citrate Cycle (Tca Cycle)
K00040	549.4596153846154	6394.09	3602.027307692307	4934.91	2022.9869230769232	4877.304615384615	5608.12423076923	4463.745	2339.05	3063.420769230769	3907.683461538461	191.57692307692307	3352.557307692308	4828.621923076923	2514.8230769230768	1312.5723076923075	4329.326923076923	8544.97	1748.3796153846151	3017.1757692307697	398.23115384615386	4833.557307692308	2331.6153846153848	2679.142692307692	4010.4615384615386	4488.404230769231	2929.2373076923077	2668.9615384615386	4779.489615384616	311.9569230769231	3002.394230769231	0	5061.498846153846	10283.51153846154	3764.0384615384614	6115.74	3291.153846153846	3837.909230769231	68.61538461538461	8031.345769230769	3451.600769230769	4188.846153846154	3430.423076923077	1780.5373076923076	4380.000384615385	2702.8846153846152	2727.730769230769	5014.532692307692	2541.967307692308	4261.763846153845	787.3850000000001	4947.331153846154	7084.339230769231	5459.803846153846	4094.8846153846152	4139.618461538461	3860.2392307692303	3394.461923076923	4072.411538461539	4426.461538461538	4340.193846153847	4457.154230769231	4224.622307692307	5775.01423076923	5448.207692307692	132.73538461538462	5307.748076923077	74.84615384615384	1559.8280769230769	4381.744230769231	1515.6346153846157	147.09615384615384	4776.775	3052.070769230769	5379.2730769230775	7052.096153846154	3615.3653846153848	1941.4107692307691	4441.469230769231	379.61500000000007	17053.260000000002	Metabolism	Carbohydrate Metabolism	Pentose And Glucuronate Interconversions
K00051	4779.940303030303	19828.778484848484	31038.673636363637	9890.024545454547	4283.448787878788	15747.387575757572	15898.039696969696	9060.548181818182	5656.2224242424245	8479.825151515151	29459.529696969697	1065.3333333333333	30310.620303030304	16900.1803030303	22564.98787878788	1173.8860606060605	11757.136363636364	10484.223333333332	13840.093030303027	27141.48151515152	949.1169696969696	32939.23151515152	20874.363636363636	3813.538787878788	36297.43939393939	40263.031212121205	25677.534545454542	16571.60121212121	17952.170000000002	740.2863636363636	23936.45	501.24242424242425	13332.36181818182	7378.33090909091	7107.060606060606	14899.332424242428	28863.696969696968	18993.65242424242	503.8787878787879	6396.049696969698	23796.657272727276	7528.454545454545	28282.18181818182	5791.169696969696	8794.376666666667	18692.71212121212	23190.636363636364	33905.915757575756	8854.487575757576	38605.19333333333	6933.389696969696	16518.384545454544	21749.002727272727	10391.524545454546	28827.21212121212	16139.355757575757	19574.61333333334	28406.33424242424	15272.630909090907	5677.181818181818	37282.61696969697	36431.66848484849	19160.541515151515	11524.033636363636	20140.288484848486	886.817878787879	21866.5096969697	55.93939393939394	3946.936666666667	10227.951818181817	13665.772727272728	1207.2424242424242	15975.276666666668	4115.929393939394	44037.52939393939	14032.576363636364	22041.39393939394	2669.97	10944.850303030304	3379.231818181818	61961.68272727273	Metabolism	Energy Metabolism	Carbon Fixation In Photosynthetic Organisms
K00052	3566.8131034482753	19433.494827586204	23125.73379310345	10150.333103448276	5309.264137931034	13865.044137931036	19803.46896551724	8599.662413793103	5759.19620689655	6975.529999999999	22700.49758620689	1108.8275862068965	22503.200689655176	15773.514482758625	16762.006896551724	2745.3900000000003	11083.655172413792	17390.803103448274	10506.508620689656	20155.832758620694	1027.5182758620688	54797.10241379311	15517.206896551725	4286.757586206897	26941.11206896552	29929.0924137931	19146.051379310346	13459.195517241378	15159.639310344828	945.1168965517242	18950.15344827586	374.2413793103448	13684.625172413796	19136.60620689655	12164.137931034482	13528.450689655172	21536.344827586207	15266.03448275862	403.9655172413793	14393.79206896552	21144.52344827586	9601.948275862069	21234.896551724138	5489.633793103449	9004.914137931033	14632.637931034482	17504.03448275862	25330.276896551724	7644.315172413793	28650.57551724138	5169.932068965517	25114.505862068963	20783.95068965517	11245.778620689654	25549.793103448275	14296.324137931031	15864.461724137933	24377.747586206893	13643.166551724136	8964.293103448275	28398.01689655172	27875.00068965517	15350.414137931037	8783.704827586207	18750.632413793108	682.7072413793104	19011.623448275863	140.48275862068965	3909.182413793103	10305.891724137931	10146.448275862069	923.3448275862067	16872.00724137931	5664.775862068966	33065.10896551724	15239.022758620691	18567.48275862069	4470.886896551724	9931.574827586208	2507.9579310344825	57146.06655172413	Metabolism	Amino Acid Metabolism	Valine, Leucine And Isoleucine Biosynthesis
K00053	54.60388888888889	3945.444444444444	263.4422222222222	7592.462777777779	964.6016666666668	8125.912777777778	1061.2411111111112	7386.435555555556	3575.332777777778	1756.4205555555554	1592.9855555555555	0	4.712222222222222	3055.5955555555556	14.394444444444446	595.4116666666666	6547.111111111111	5711.8694444444445	639.9766666666667	30.689444444444444	446.00944444444445	0	0	1188.746111111111	2.1805555555555554	87.25999999999999	171.57444444444445	673.3333333333334	5383.8277777777785	150.1677777777778	8.397222222222222	0	4135.212777777778	6005.2572222222225	0	11905.115	279.8333333333333	3731.058333333333	5.722222222222222	11624.46277777778	175.87944444444443	4150	290.22222222222223	3304.573888888889	5383.988888888889	366.22222222222223	96.11111111111111	5061.371111111111	2965.907222222222	0	14.037222222222224	1020.9683333333334	8195.5	8921.917222222222	14.055555555555555	2531.570555555556	3428.8766666666666	135.0377777777778	1587.8122222222223	3685.9166666666665	114.90666666666664	290.8333333333333	5879.742222222222	4887.730555555556	4049.280555555555	25.46388888888889	9959.576111111111	0	2638.0144444444445	4236.453888888889	9.38888888888889	1.8611111111111112	3164.3227777777774	3631.130555555555	874.6083333333332	14394.677222222224	1567	536.7788888888889	4485.218888888889	8.186111111111112	9934.190555555557	Metabolism	Metabolism Of Cofactors And Vitamins	Pantothenate And Coa Biosynthesis
K00061	585.3223076923076	15110.822307692306	3956.363076923077	9473.102307692308	5168.833076923077	9803.841538461538	16575.593076923076	9851.424615384614	3060.6415384615384	8642.873076923077	4957.054615384615	531.1538461538462	3379.6984615384617	10860.962307692307	2576.5692307692307	2629.67	7635.115384615385	14998.809230769231	2380.123846153846	3055.133846153846	935.7061538461538	12870.14	2367.076923076923	14139.647692307695	4022.019230769231	4555.474615384615	3013.13	3407.6923076923076	11013.626923076925	1096.8607692307692	4744.526923076923	59.92307692307692	19415.934615384616	16736.420000000002	12762.76923076923	11624.986923076924	3426.6923076923076	8024.623076923077	96.6923076923077	14451.28076923077	7277.340769230768	10282.807692307691	4707.461538461538	2935.8384615384616	7210.799999999999	3519.1153846153848	3213.230769230769	6602.643076923077	4902.383846153846	4265.3123076923075	812.5523076923077	19001.123846153845	11668.956153846151	14021.105384615385	8254.153846153846	8295.503846153846	10794.306923076922	4363.59	8561.3	7307.615384615385	6936.50076923077	6416.513076923076	14016.396153846155	16930.530000000002	8984.387692307693	247.67307692307693	8631.437692307692	121.6923076923077	2800.7523076923076	16824.23153846154	1536.6923076923076	224.46153846153845	13204.452307692309	5485.846153846154	6292.255384615385	3962.263076923077	5804.846153846154	3194.6930769230767	12500.98923076923	384.06692307692305	27033.35923076923	Unclassified	Unclassified	Unclassified
K00071	635.19125	0	4054.97375	6591.847083333334	2571.20125	8519.918333333333	3964.8562499999994	7053.396250000001	2113.3995833333333	0	5157.863333333334	0	3640.545	6144.720416666667	2744.379166666667	1766.027916666667	4302.458333333333	12305.817083333332	2247.1629166666667	3302.258333333333	337.61333333333334	5241.5325	2534.75	2440.622083333333	0	4917.215416666667	3209.7116666666666	3449.6175000000003	7656.327499999999	0	3813.9520833333336	66.25	0	14410.172916666668	0	9689.128333333334	3722.2083333333335	5526.320833333334	83.375	15459.400833333331	5558.693333333334	0	3953.0416666666665	3394.3504166666667	5081.636666666666	0	3186.5	4785.389583333334	3322.0204166666667	0	869.5091666666667	3908.53125	7855.014166666665	0	6644.833333333333	5339.178333333333	5553.205000000001	0	4800.680833333333	6116.916666666667	6099.10625	0	0	5497.249583333333	7292.287916666667	218.29541666666668	11013.274583333332	0	0	0	1664.375	167.60416666666666	5538.02375	4623.5	6500.920416666667	7116.762916666667	4498.416666666667	0	5743.792083333334	413.7304166666667	21345.288333333338	Metabolism	Lipid Metabolism	Steroid Hormone Biosynthesis
K00100	0	0	3.25	0	0	2.75	0	0	0.166875	0	0	0	0	3.34375	1	3.9375	0	0.05375	0.5625	0.770625	0.104375	0.270625	0	0.375	0	0	0.125	1.208125	0.395625	0	0.125	0	0	0.1875	0	0.3125	0	0.125	0	0.708125	0.875	0	0	0	44.520625	0	0	0	0	0	0.291875	0.0825	14.90625	0	0.8125	0	1.333125	0.0625	0	0	2.5625	0	0	0.25	0.375	1.823125	0.4375	0	0	0	0	0.375	0.6875	0	8.958124999999999	0.4375	0	0	0	0.1875	0	Metabolism	Lipid Metabolism	Linoleic Acid Metabolism
